Date,Close Price,Trading Signal
2023-11-17,2355.550048828125,-1.0
2023-11-20,2349.35009765625,-1.0
2023-11-21,2378.89990234375,1.0
2023-11-22,2388.199951171875,-1.0
2023-11-23,2395.5,-1.0
2023-11-24,2393.89990234375,-1.0
2023-11-28,2394.39990234375,-1.0
2023-11-29,2400.699951171875,-1.0
2023-11-30,2377.449951171875,-1.0
2023-12-01,2394.300048828125,-1.0
2023-12-04,2420.199951171875,-1.0
2023-12-05,2437.75,-1.0
2023-12-06,2461.10009765625,-1.0
2023-12-07,2457.050048828125,-1.0
2023-12-08,2455.75,-1.0
2023-12-11,2459.35009765625,-1.0
2023-12-12,2424.050048828125,-1.0
2023-12-13,2433.949951171875,1.0
2023-12-14,2464.14990234375,-1.0
2023-12-15,2495.60009765625,-1.0
2023-12-18,2521.0,-1.0
2023-12-19,2558.10009765625,-1.0
2023-12-20,2527.14990234375,-1.0
2023-12-21,2562.550048828125,-1.0
2023-12-22,2565.050048828125,-1.0
2023-12-26,2578.050048828125,-1.0
2023-12-27,2586.85009765625,-1.0
2023-12-28,2605.550048828125,-1.0
2023-12-29,2584.949951171875,-1.0
