Date,OR FP Equity,DG FP Equity,STLAP FP Equity,TTE FP Equity,AI FP Equity,DSY FP Equity,CS FP Equity,ERF FP Equity,BNP FP Equity,BN FP Equity,CAP FP Equity,CA FP Equity,SGO FP Equity,EL FP Equity,MC FP Equity,ML FP Equity,EDEN FP Equity,KER FP Equity,PUB FP Equity,RNO FP Equity,SAF FP Equity,HO FP Equity,TEP FP Equity,RMS FP Equity,ENGI FP Equity,ORA FP Equity,MT NA Equity,EN FP Equity,ALO FP Equity,VIE FP Equity,SAN FP Equity,GLE FP Equity,SU FP Equity,AIR FP Equity,LR FP Equity,URW FP Equity,ACA FP Equity,RI FP Equity,STMPA FP Equity,WLN FP Equity
29-06-2015,161.95,52.83,#N/A N/A,44.64,84.6682,13.244,22.6,26.58,54.81,59.07,80.23,29.365,41.15,108.75,163.6,23.8725,22.365,151.05,67.23,94.27,61.63,54.85,64.07,352,16.85,14.055,20.9811,34.135,23.8212,17.9818,89.0447,42.09,62.96,59.3,51.34,230,13.425,105.9,7.469,18.85
30-06-2015,160,51.88,#N/A N/A,43.57,83.0217,13.044,22.63,27.31,54.15,57.99,79.37,28.72,40.27,107,157.15,23.4975,22.165,148.87,66.32,93.42,60.79,54.16,63.37,334.6,16.64,13.81,20.3158,33.535,23.5986,17.6347,87.7617,41.87,61.93,58.2,50.36,226.7,13.34,103.6,7.355,18.4
01-07-2015,160.85,53.3,#N/A N/A,43.89,84.7048,13.372,23.005,28.6,55.37,59.2,81.93,29.005,41.545,109.25,161.65,23.9275,22.455,153.38,67.95,97.04,62.13,55.46,64.89,338.15,16.73,14.08,20.4716,33.77,23.8583,17.789,89.2138,42.97,62.87,60.37,51,232.4,13.675,105.7,7.375,18.75
02-07-2015,159.35,53.1,#N/A N/A,43.905,83.6437,13.2,22.6,27.755,54.71,59.14,81.07,28.65,40.925,107.3,158.9,23.6175,22.07,151.19,66.65,95.98,61,54.44,63.4,334.95,16.97,14.16,20.1832,33.185,23.6914,17.9673,88.5972,42.315,62.08,59.52,50.3,224.2,13.48,105.05,7.251,19.37
03-07-2015,158.35,53.3,#N/A N/A,43.785,83.4974,13.198,22.545,27.56,54.27,58.7,80.72,28.47,40.57,107.15,157.65,23.5,21.915,150.03,66.36,95.06,61,53.9,62.93,334.5,16.72,14.085,20.2506,32.93,23.7192,17.895,87.7021,41.98,61.87,59.21,50.12,223.75,13.37,104,7.261,19.135
06-07-2015,155.9,52.1,#N/A N/A,42.9,81.9972,13.174,21.81,27.475,51.97,58.09,80.42,28,39.745,105.05,153.25,23.22,21.655,149.29,65.62,94.16,60.3,53.43,62.31,329.45,16.32,13.655,19.6086,31.97,23.7748,17.4322,86.6876,40.395,60.53,58.38,49.31,217.95,13,103.25,7.376,18.5
07-07-2015,153.95,51.45,#N/A N/A,42.005,79.875,12.902,21.14,27.965,50.5,57.5,79.33,27.5,38.245,103.5,147.95,22.8875,21.765,143.75,65,90.67,58.95,52.34,61.51,320.5,16.11,13.25,18.3524,31.1,23.186,17.1719,85.5637,39.275,59.08,56.62,48.355,215.35,12.65,102.6,7.025,18.5
08-07-2015,155.6,51.64,#N/A N/A,42.245,80.3141,12.784,21.455,27.96,50.93,57.93,79.41,27.68,38.875,104.55,149.35,22.68,21.805,144.59,66.12,86.58,60.12,53.81,61.11,325,16.3,13.365,18.9153,30.985,23.7145,17.2683,86.5484,39.5,60.01,57.16,48.93,217.2,12.675,101.95,6.982,18.5
09-07-2015,159.75,52.85,#N/A N/A,43.305,82.8022,13.078,22.095,28.355,52.38,59.4,82.5,28.25,39.79,108.1,153.4,23.355,22.145,147.75,68.32,88.5,60.88,54.45,62.8,330.85,16.73,13.655,19.0154,31.085,23.6404,17.6588,88.8956,40.955,61.11,58.6,49.845,224.1,13.2,103.4,7.064,19.35
10-07-2015,164.65,54.35,#N/A N/A,44.345,85.3268,13.412,23.015,29.3,54.49,60.94,84.74,29.06,41.22,111.6,158.75,23.5375,22.245,151.52,69.35,91.2,62.74,55.53,64.93,337,17.25,14.325,19.3061,31.575,24.1225,18.3867,91.9688,42.45,63.1,60.4,50.92,231.05,13.61,106.25,7.181,19.4
